Rank,Model,Dataset,Val Acc (R1),Val Acc (R2),Test Accuracy,Time (s)
1,Gradient Boosting (tuned),base,0.9100,0.9101,0.91315,260.5
2,Random Forest (tuned),base,0.9069,0.9071,0.90815,354.5
3,Decision Tree (tuned),base,0.9000,0.9002,0.90355,3.4
4,Kernel SVM (Nystroem RBF),base,0.8832,0.8850,0.8866,328.0
5,KNN (tuned),FE,0.8813,0.8824,0.88245,362.0
6,Logistic Regression,FE,0.8381,0.8381,0.8377,0.6
7,Ridge Logistic Regression,FE,0.8380,0.8380,0.83765,2.6
8,Lasso Logistic Regression,FE,0.8379,0.8379,0.8374,13.3
9,LinearSVC,FE,0.8378,0.8379,0.836,237.6
10,Baseline (Most Frequent),—,—,—,0.6577,—
