Rank,Model,Dataset,Val Acc (R1),Val Acc (R2),Test Accuracy,Time (s)
1,Random Forest (tuned),base,0.8578,0.8578,0.8623,111.1
2,Lasso Logistic Regression,FE,0.8578,0.8578,0.8622,2.4
3,Decision Tree (tuned),base,0.8578,0.8578,0.8622,56.7
4,Gradient Boosting (tuned),base,0.8578,0.8578,0.8622,615.0
5,Kernel SVM (Nystroem RBF),base,0.8545,0.8557,0.8584,255.5
6,LinearSVC,FE,0.8512,0.8512,0.85365,387.4
7,Ridge Logistic Regression,FE,0.8417,0.8417,0.84385,1.7
8,Logistic Regression,FE,0.8411,0.8411,0.8438,0.4
9,KNN (tuned),FE,0.8328,0.8329,0.8385,296.5
10,Baseline (Most Frequent),—,—,—,0.5877,—
